EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:05:02,,,
,,,
"V1: 0.500000, 1.250000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
489,2.524086,0.699841,2.673162
490,2.524318,0.698407,2.671728
491,2.521207,0.696973,2.671728
492,2.524155,0.698407,2.673162
493,2.524632,0.698407,2.673162
494,2.520885,0.699841,2.671728
495,2.523937,0.698407,2.671728
496,2.52445,0.695538,2.671728
497,2.52101,0.698407,2.673162
498,2.523607,0.699841,2.671728
499,2.523945,0.696973,2.671728
500,2.521223,0.698407,2.671728
501,2.523518,0.698407,2.673162
502,2.524293,0.698407,2.671728
503,2.521481,0.698407,2.671728
504,2.523122,0.699841,2.671728
505,2.524354,0.695538,2.671728
506,2.521766,0.698407,2.671728
507,2.522691,0.701275,2.671728
508,2.523833,0.698407,2.671728
509,2.521448,0.696973,2.671728
510,2.522388,0.69267,2.671728
511,2.523947,0.698407,2.671728
512,2.522074,0.696973,2.673162
513,2.522498,0.701275,2.670294
514,2.523975,0.698407,2.673162
515,2.522365,0.699841,2.671728
516,2.52227,0.699841,2.673162
517,2.524379,0.696973,2.673162
518,2.522734,0.699841,2.671728
519,2.522029,0.698407,2.670294
520,2.524184,0.699841,2.673162
521,2.522687,0.698407,2.670294
522,2.521575,0.696973,2.673162
523,2.524167,0.696973,2.674597
524,2.522965,0.698407,2.673162
525,2.521577,0.698407,2.671728
526,2.52405,0.699841,2.674597
527,2.52351,0.696973,2.674597
528,2.521599,0.699841,2.671728
529,2.524502,0.695538,2.676031
530,2.52418,0.698407,2.671728
531,2.521713,0.69267,2.673162
532,2.524594,0.699841,2.673162
533,2.524142,0.699841,2.673162
534,2.521159,0.698407,2.671728
535,2.524066,0.698407,2.671728
536,2.523726,0.698407,2.674597
537,2.52045,0.698407,2.671728
538,2.523905,0.698407,2.671728
539,2.523843,0.696973,2.671728
540,2.520312,0.698407,2.673162
541,2.523947,0.696973,2.673162
542,2.5241,0.698407,2.673162
543,2.520253,0.698407,2.673162
544,2.524002,0.698407,2.671728
545,2.524077,0.694104,2.673162
546,2.519955,0.694104,2.671728
547,2.523965,0.695538,2.671728
548,2.523756,0.699841,2.671728
549,2.520177,0.695538,2.673162
