EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:27:09,,,
,,,
"V1: 1.000000, 1.625000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
668,2.98566,2.519714,3.010176
669,2.985559,2.51828,3.010176
670,2.985452,2.519714,3.010176
671,2.985227,2.51828,3.01161
672,2.984988,2.51828,3.010176
673,2.984934,2.521148,3.01161
674,2.984882,2.519714,3.010176
675,2.984634,2.519714,3.01161
676,2.984554,2.519714,3.010176
677,2.984654,2.519714,3.008742
678,2.984423,2.519714,3.008742
679,2.984382,2.516845,3.008742
680,2.984233,2.519714,3.010176
681,2.984154,2.51828,3.008742
682,2.984075,2.51828,3.010176
683,2.983747,2.519714,3.010176
684,2.983505,2.51828,3.010176
685,2.98348,2.516845,3.008742
686,2.983548,2.516845,3.008742
687,2.983678,2.519714,3.008742
688,2.983177,2.51828,3.008742
689,2.982926,2.51828,3.008742
690,2.98286,2.51828,3.008742
691,2.982848,2.51828,3.010176
692,2.982616,2.51828,3.007308
693,2.982613,2.51828,3.008742
694,2.98248,2.516845,3.008742
695,2.982275,2.51828,3.010176
696,2.982224,2.51828,3.007308
697,2.982152,2.51828,3.007308
698,2.981784,2.515411,3.007308
699,2.981732,2.516845,3.005873
700,2.981416,2.516845,3.008742
701,2.98156,2.519714,3.008742
702,2.981334,2.516845,3.007308
703,2.981256,2.513977,3.007308
704,2.981174,2.516845,3.007308
705,2.981062,2.51828,3.005873
706,2.981274,2.51828,3.007308
707,2.980801,2.51828,3.007308
708,2.980663,2.516845,3.005873
709,2.980625,2.515411,3.008742
710,2.980452,2.51828,3.005873
711,2.980275,2.516845,3.005873
712,2.980051,2.51828,3.005873
713,2.98028,2.515411,3.004439
714,2.98006,2.516845,3.004439
715,2.979897,2.515411,3.007308
716,2.97975,2.516845,3.005873
717,2.979593,2.516845,3.005873
718,2.97966,2.516845,3.007308
719,2.979547,2.515411,3.005873
720,2.979385,2.515411,3.004439
721,2.978976,2.516845,3.005873
722,2.979193,2.512543,3.004439
723,2.978673,2.515411,3.004439
724,2.978486,2.516845,3.004439
725,2.97858,2.516845,3.004439
726,2.978536,2.515411,3.005873
727,2.978269,2.515411,3.004439
728,2.978265,2.515411,3.004439
729,2.978191,2.513977,3.004439
730,2.977994,2.515411,3.004439
731,2.977759,2.515411,3.003005
732,2.977807,2.516845,3.003005
733,2.977448,2.512543,3.005873
734,2.977445,2.515411,3.004439
735,2.977515,2.513977,3.004439
736,2.977149,2.513977,3.003005
737,2.976933,2.513977,3.001571
738,2.976991,2.515411,3.003005
739,2.976774,2.515411,3.003005
740,2.976682,2.515411,3.001571
741,2.976547,2.513977,3.003005
742,2.976599,2.515411,3.003005
743,2.976634,2.515411,3.003005
744,2.976282,2.513977,3.000137
745,2.976278,2.509675,3.001571
