EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/01 01:58:57,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
427,2.909365,2.809402,2.926998
428,2.909305,2.809402,2.926998
429,2.90933,2.807968,2.925564
430,2.909159,2.809402,2.926998
431,2.909045,2.807968,2.926998
432,2.909213,2.809402,2.926998
433,2.909201,2.806534,2.928432
434,2.909199,2.807968,2.928432
435,2.909152,2.805099,2.926998
436,2.908992,2.809402,2.926998
437,2.908943,2.809402,2.925564
438,2.909275,2.809402,2.928432
439,2.909179,2.809402,2.928432
440,2.909193,2.806534,2.926998
441,2.90887,2.807968,2.928432
442,2.909129,2.805099,2.928432
443,2.909409,2.807968,2.926998
444,2.909273,2.809402,2.929866
445,2.909098,2.809402,2.926998
446,2.909084,2.806534,2.926998
447,2.908857,2.806534,2.926998
448,2.90887,2.807968,2.926998
449,2.908972,2.807968,2.926998
450,2.908746,2.807968,2.926998
451,2.908959,2.809402,2.925564
452,2.908833,2.809402,2.928432
453,2.908861,2.809402,2.926998
454,2.909113,2.809402,2.926998
455,2.908834,2.807968,2.929866
456,2.908655,2.809402,2.929866
457,2.908736,2.805099,2.926998
458,2.908779,2.809402,2.925564
459,2.908813,2.809402,2.925564
460,2.908692,2.807968,2.926998
461,2.909047,2.809402,2.926998
462,2.909067,2.807968,2.926998
463,2.909277,2.807968,2.925564
464,2.909024,2.806534,2.925564
465,2.908904,2.810836,2.926998
466,2.908845,2.809402,2.926998
467,2.908735,2.807968,2.928432
468,2.908698,2.807968,2.926998
469,2.908818,2.809402,2.926998
470,2.908715,2.807968,2.928432
471,2.90871,2.807968,2.928432
472,2.908795,2.807968,2.926998
473,2.909174,2.807968,2.926998
474,2.908788,2.809402,2.928432
475,2.908822,2.807968,2.928432
476,2.908805,2.809402,2.926998
477,2.909016,2.809402,2.926998
478,2.908949,2.807968,2.928432
479,2.909184,2.806534,2.926998
480,2.909231,2.809402,2.926998
481,2.909377,2.807968,2.928432
482,2.909412,2.809402,2.926998
483,2.909267,2.807968,2.928432
484,2.909173,2.809402,2.925564
485,2.909056,2.807968,2.926998
486,2.909246,2.807968,2.926998
487,2.909221,2.810836,2.926998
488,2.909413,2.807968,2.926998
489,2.909297,2.809402,2.926998
490,2.909217,2.806534,2.926998
491,2.909678,2.807968,2.926998
492,2.909575,2.807968,2.926998
493,2.909485,2.810836,2.926998
494,2.909614,2.809402,2.926998
495,2.909607,2.810836,2.928432
496,2.909489,2.809402,2.926998
497,2.909607,2.81227,2.926998
498,2.909545,2.810836,2.928432
499,2.909552,2.809402,2.928432
500,2.910084,2.809402,2.926998
501,2.909805,2.807968,2.926998
502,2.909868,2.809402,2.926998
503,2.909858,2.807968,2.929866
504,2.909963,2.809402,2.9313
505,2.90968,2.809402,2.928432
506,2.909617,2.810836,2.925564
507,2.909612,2.810836,2.928432
508,2.90943,2.807968,2.926998
509,2.909223,2.810836,2.926998
510,2.90896,2.806534,2.925564
511,2.909338,2.809402,2.926998
512,2.90942,2.809402,2.926998
513,2.909495,2.809402,2.928432
514,2.909377,2.809402,2.926998
515,2.909492,2.810836,2.926998
516,2.909209,2.806534,2.928432
517,2.909078,2.807968,2.928432
518,2.909503,2.807968,2.926998
519,2.909363,2.807968,2.928432
520,2.909171,2.809402,2.926998
521,2.909018,2.807968,2.926998
522,2.909074,2.807968,2.925564
523,2.90925,2.806534,2.929866
524,2.909353,2.810836,2.926998
525,2.909856,2.809402,2.929866
526,2.909307,2.809402,2.925564
527,2.909094,2.810836,2.925564
528,2.909136,2.809402,2.926998
529,2.909235,2.807968,2.926998
530,2.909465,2.809402,2.928432
531,2.909163,2.807968,2.9313
532,2.909143,2.807968,2.928432
533,2.909385,2.807968,2.928432
534,2.909248,2.809402,2.926998
535,2.909486,2.809402,2.928432
536,2.909379,2.807968,2.928432
537,2.909262,2.809402,2.926998
538,2.909034,2.809402,2.926998
539,2.909182,2.806534,2.926998
540,2.909425,2.809402,2.928432
541,2.909417,2.810836,2.926998
542,2.909519,2.810836,2.928432
543,2.909578,2.805099,2.928432
544,2.909578,2.809402,2.926998
545,2.909343,2.809402,2.926998
546,2.909479,2.809402,2.926998
547,2.909534,2.806534,2.925564
548,2.909348,2.809402,2.928432
549,2.909405,2.806534,2.926998
550,2.909046,2.810836,2.926998
551,2.909053,2.807968,2.926998
552,2.909312,2.809402,2.926998
553,2.909336,2.806534,2.925564
554,2.90934,2.810836,2.926998
555,2.909269,2.807968,2.926998
556,2.90913,2.807968,2.925564
557,2.909248,2.806534,2.925564
558,2.909244,2.809402,2.928432
559,2.909412,2.807968,2.926998
560,2.909324,2.807968,2.929866
561,2.909418,2.806534,2.926998
562,2.909442,2.809402,2.926998
