EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 172800/172800,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/06 09:23:31,,,
,,,
"V1: 0.500000, 1.406250",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
409,2.664746,2.443706,2.816572
410,2.664357,2.442272,2.816572
411,2.664287,2.440838,2.819441
412,2.664351,2.443706,2.813704
413,2.663952,2.44514,2.816572
414,2.663759,2.442272,2.816572
415,2.663492,2.443706,2.816572
416,2.66336,2.440838,2.815138
417,2.663226,2.442272,2.815138
418,2.662954,2.443706,2.815138
419,2.662717,2.442272,2.813704
420,2.662252,2.443706,2.813704
421,2.662296,2.443706,2.815138
422,2.662092,2.442272,2.813704
423,2.662167,2.440838,2.81227
424,2.662282,2.443706,2.81227
425,2.661623,2.442272,2.810836
426,2.661418,2.442272,2.810836
427,2.661408,2.443706,2.810836
428,2.661237,2.443706,2.81227
429,2.661237,2.442272,2.81227
430,2.660836,2.442272,2.813704
431,2.660664,2.442272,2.809402
432,2.660562,2.442272,2.810836
433,2.660292,2.443706,2.809402
434,2.660157,2.442272,2.810836
435,2.659722,2.442272,2.809402
436,2.659519,2.442272,2.807968
437,2.65966,2.442272,2.807968
438,2.65913,2.440838,2.807968
439,2.659089,2.442272,2.807968
440,2.658758,2.440838,2.807968
441,2.658572,2.442272,2.807968
442,2.658263,2.442272,2.807968
443,2.658145,2.442272,2.806534
444,2.657893,2.440838,2.806534
445,2.657607,2.440838,2.807968
446,2.657366,2.439404,2.806534
447,2.657085,2.440838,2.807968
448,2.657038,2.440838,2.806534
449,2.656437,2.440838,2.806534
450,2.656209,2.440838,2.806534
451,2.655885,2.439404,2.805099
452,2.655883,2.440838,2.805099
453,2.655692,2.43797,2.805099
454,2.655706,2.43797,2.803665
455,2.655488,2.43797,2.803665
456,2.655224,2.439404,2.802231
457,2.655007,2.440838,2.802231
458,2.654829,2.436536,2.802231
459,2.654485,2.43797,2.803665
460,2.65443,2.439404,2.800797
461,2.653998,2.436536,2.802231
462,2.654046,2.43797,2.800797
463,2.653643,2.439404,2.800797
464,2.653608,2.439404,2.803665
465,2.653174,2.43797,2.799363
466,2.653025,2.435102,2.800797
467,2.653039,2.43797,2.799363
468,2.652521,2.436536,2.799363
469,2.65265,2.439404,2.799363
470,2.65246,2.43797,2.799363
471,2.652146,2.43797,2.800797
472,2.651732,2.436536,2.799363
473,2.651208,2.436536,2.797929
474,2.651001,2.436536,2.800797
475,2.65078,2.436536,2.796495
476,2.650409,2.433668,2.799363
477,2.650237,2.436536,2.797929
478,2.650017,2.435102,2.796495
479,2.650175,2.43797,2.796495
480,2.649992,2.43797,2.795061
481,2.649739,2.436536,2.795061
482,2.649467,2.43797,2.796495
483,2.649356,2.436536,2.797929
484,2.649322,2.433668,2.796495
485,2.648927,2.436536,2.793627
486,2.648489,2.436536,2.795061
487,2.648153,2.436536,2.795061
488,2.647896,2.435102,2.797929
489,2.647798,2.433668,2.796495
490,2.647835,2.435102,2.795061
491,2.647729,2.436536,2.792193
492,2.647469,2.436536,2.795061
493,2.647297,2.435102,2.792193
494,2.646944,2.435102,2.793627
495,2.646886,2.435102,2.792193
496,2.646932,2.433668,2.793627
497,2.646474,2.435102,2.792193
498,2.646236,2.433668,2.793627
499,2.646073,2.435102,2.792193
500,2.645699,2.432234,2.790759
501,2.645356,2.433668,2.792193
502,2.645214,2.430799,2.792193
503,2.645018,2.433668,2.790759
504,2.644892,2.433668,2.790759
505,2.644711,2.430799,2.789325
506,2.644588,2.430799,2.789325
507,2.644499,2.430799,2.789325
508,2.644334,2.432234,2.789325
509,2.643944,2.433668,2.789325
510,2.64383,2.432234,2.789325
511,2.643548,2.430799,2.789325
512,2.643468,2.433668,2.78789
513,2.642889,2.430799,2.78789
514,2.642956,2.430799,2.789325
515,2.642606,2.430799,2.78789
516,2.642491,2.432234,2.789325
517,2.642494,2.430799,2.786456
518,2.642139,2.432234,2.789325
519,2.64192,2.432234,2.78789
520,2.641852,2.430799,2.786456
521,2.641569,2.430799,2.789325
522,2.641223,2.429365,2.786456
523,2.641205,2.430799,2.786456
524,2.64097,2.427931,2.786456
525,2.640486,2.429365,2.785022
526,2.640507,2.430799,2.786456
527,2.640279,2.430799,2.786456
528,2.640033,2.427931,2.782154
529,2.640002,2.430799,2.785022
530,2.639587,2.429365,2.785022
531,2.639349,2.427931,2.783588
532,2.639337,2.427931,2.782154
533,2.639166,2.429365,2.786456
534,2.638668,2.429365,2.783588
535,2.638737,2.425063,2.785022
536,2.638508,2.429365,2.783588
537,2.638145,2.427931,2.782154
538,2.637815,2.426497,2.78072
539,2.637746,2.427931,2.782154
540,2.637494,2.426497,2.783588
541,2.637292,2.427931,2.78072
542,2.637262,2.426497,2.78072
543,2.637142,2.426497,2.783588
544,2.636984,2.427931,2.782154
545,2.636571,2.425063,2.779286
546,2.636547,2.426497,2.783588
547,2.636197,2.425063,2.78072
548,2.635953,2.426497,2.779286
549,2.636053,2.423629,2.78072
550,2.635736,2.425063,2.782154
551,2.635383,2.423629,2.782154
552,2.635399,2.425063,2.78072
553,2.635263,2.425063,2.777852
554,2.634934,2.425063,2.777852
555,2.634562,2.423629,2.777852
556,2.634445,2.425063,2.779286
557,2.634077,2.423629,2.777852
558,2.634053,2.423629,2.779286
559,2.633809,2.423629,2.777852
560,2.633895,2.422195,2.777852
561,2.633821,2.423629,2.776417
562,2.633465,2.422195,2.777852
563,2.633131,2.425063,2.776417
564,2.632647,2.422195,2.776417
565,2.632542,2.423629,2.776417
566,2.63208,2.422195,2.776417
567,2.63217,2.423629,2.776417
568,2.631981,2.423629,2.776417
569,2.631876,2.420761,2.774983
570,2.63142,2.420761,2.774983
571,2.631366,2.422195,2.776417
572,2.631325,2.420761,2.773549
573,2.631089,2.420761,2.774983
574,2.630621,2.422195,2.773549
575,2.630593,2.419327,2.774983
576,2.630383,2.417892,2.773549
577,2.630068,2.420761,2.772115
578,2.630026,2.419327,2.772115
579,2.629949,2.420761,2.773549
580,2.629532,2.420761,2.772115
581,2.629177,2.419327,2.773549
582,2.629054,2.420761,2.772115
583,2.628574,2.417892,2.772115
584,2.628753,2.419327,2.772115
585,2.628558,2.417892,2.773549
586,2.628166,2.417892,2.770681
587,2.627972,2.417892,2.770681
588,2.628031,2.419327,2.772115
589,2.62757,2.417892,2.770681
590,2.62727,2.417892,2.770681
591,2.62754,2.417892,2.772115
592,2.62744,2.419327,2.770681
593,2.62694,2.416458,2.770681
594,2.626751,2.419327,2.770681
595,2.626904,2.417892,2.770681
596,2.626348,2.417892,2.769247
597,2.626402,2.415024,2.769247
598,2.626372,2.416458,2.769247
599,2.625929,2.416458,2.767813
600,2.625736,2.41359,2.772115
601,2.625638,2.417892,2.769247
602,2.625662,2.41359,2.769247
603,2.62566,2.41359,2.767813
604,2.625303,2.41359,2.767813
605,2.624767,2.416458,2.769247
606,2.624823,2.41359,2.767813
607,2.62476,2.416458,2.767813
608,2.624315,2.41359,2.767813
609,2.624024,2.415024,2.767813
610,2.62394,2.415024,2.767813
611,2.623495,2.416458,2.766379
612,2.623639,2.41359,2.767813
613,2.623484,2.415024,2.766379
614,2.623454,2.415024,2.766379
615,2.623058,2.415024,2.767813
616,2.62265,2.41359,2.766379
617,2.62254,2.415024,2.766379
618,2.622232,2.41359,2.764945
619,2.622385,2.41359,2.766379
620,2.62226,2.41359,2.764945
621,2.621989,2.412156,2.764945
622,2.62176,2.410722,2.764945
623,2.621365,2.412156,2.767813
624,2.621135,2.412156,2.763511
625,2.621099,2.410722,2.766379
626,2.621167,2.41359,2.764945
627,2.62107,2.412156,2.763511
628,2.62072,2.41359,2.764945
629,2.620442,2.409288,2.763511
630,2.620483,2.410722,2.763511
631,2.620134,2.409288,2.763511
632,2.619988,2.41359,2.762077
633,2.61979,2.41359,2.762077
634,2.619748,2.410722,2.764945
635,2.619279,2.410722,2.763511
636,2.619384,2.412156,2.762077
637,2.618975,2.410722,2.763511
638,2.619031,2.412156,2.760643
639,2.618879,2.410722,2.762077
640,2.618783,2.412156,2.762077
641,2.618702,2.409288,2.762077
642,2.618211,2.409288,2.760643
643,2.618212,2.410722,2.760643
644,2.617958,2.409288,2.760643
645,2.617568,2.407854,2.762077
646,2.617688,2.412156,2.759208
647,2.617548,2.409288,2.762077
648,2.617226,2.412156,2.759208
649,2.616985,2.409288,2.757774
650,2.617078,2.410722,2.760643
651,2.617058,2.410722,2.759208
652,2.616788,2.409288,2.759208
653,2.616484,2.409288,2.760643
654,2.616557,2.410722,2.759208
655,2.616277,2.409288,2.757774
656,2.616323,2.409288,2.757774
657,2.616233,2.409288,2.759208
658,2.616078,2.407854,2.760643
659,2.616092,2.409288,2.757774
660,2.61607,2.410722,2.757774
661,2.615995,2.409288,2.760643
662,2.615901,2.409288,2.760643
663,2.615762,2.407854,2.757774
664,2.615369,2.409288,2.757774
665,2.615125,2.409288,2.757774
666,2.614659,2.407854,2.75634
667,2.61461,2.409288,2.75634
668,2.615006,2.407854,2.75634
669,2.614776,2.407854,2.759208
670,2.614191,2.407854,2.754906
671,2.61412,2.409288,2.75634
672,2.613923,2.40642,2.754906
673,2.613842,2.40642,2.75634
674,2.613843,2.409288,2.75634
675,2.61404,2.40642,2.757774
676,2.613747,2.40642,2.75634
677,2.613238,2.409288,2.754906
678,2.612988,2.407854,2.75634
679,2.612895,2.40642,2.75634
680,2.612909,2.404986,2.754906
681,2.612636,2.404986,2.754906
682,2.612809,2.40642,2.754906
683,2.612566,2.407854,2.753472
684,2.612257,2.40642,2.754906
685,2.61218,2.40642,2.754906
686,2.612105,2.404986,2.754906
687,2.611701,2.404986,2.753472
688,2.611376,2.403552,2.753472
689,2.611372,2.402117,2.752038
690,2.611457,2.404986,2.753472
691,2.611424,2.404986,2.75634
692,2.61149,2.403552,2.753472
693,2.610804,2.403552,2.753472
694,2.610806,2.404986,2.752038
695,2.610947,2.404986,2.753472
696,2.610922,2.40642,2.753472
697,2.610755,2.404986,2.752038
698,2.610669,2.403552,2.750604
699,2.610693,2.403552,2.753472
700,2.610418,2.403552,2.752038
701,2.610161,2.400683,2.752038
702,2.60963,2.404986,2.750604
703,2.609586,2.402117,2.753472
704,2.609819,2.404986,2.750604
705,2.609924,2.402117,2.750604
706,2.609614,2.404986,2.752038
707,2.609622,2.40642,2.752038
708,2.609442,2.403552,2.752038
709,2.609357,2.402117,2.750604
710,2.609189,2.403552,2.750604
711,2.609198,2.404986,2.750604
712,2.609141,2.403552,2.74917
713,2.609082,2.404986,2.750604
714,2.608966,2.404986,2.74917
715,2.60881,2.403552,2.74917
716,2.6083,2.403552,2.74917
717,2.608203,2.403552,2.74917
718,2.608203,2.402117,2.74917
719,2.607946,2.402117,2.74917
720,2.607699,2.403552,2.747736
721,2.607423,2.403552,2.747736
722,2.607513,2.403552,2.747736
723,2.607424,2.403552,2.74917
724,2.607473,2.400683,2.74917
725,2.607058,2.402117,2.747736
726,2.606986,2.402117,2.746301
727,2.607031,2.403552,2.747736
728,2.606781,2.400683,2.747736
729,2.606454,2.403552,2.747736
730,2.606475,2.402117,2.747736
731,2.606752,2.400683,2.74917
732,2.606662,2.402117,2.746301
733,2.606413,2.400683,2.747736
734,2.606113,2.402117,2.746301
735,2.606009,2.399249,2.747736
736,2.605772,2.403552,2.746301
737,2.605577,2.400683,2.747736
738,2.605376,2.400683,2.746301
739,2.605237,2.399249,2.746301
740,2.605298,2.402117,2.746301
741,2.605315,2.402117,2.746301
742,2.605179,2.400683,2.746301
743,2.604976,2.399249,2.746301
744,2.604744,2.399249,2.746301
