EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:07:30,,,
,,,
"V1: 1.000000, 1.600000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
400,3.010772,2.719054,3.033121
401,3.010578,2.716185,3.033121
402,3.010465,2.719054,3.031687
403,3.010231,2.716185,3.033121
404,3.009981,2.717619,3.030253
405,3.009965,2.716185,3.03599
406,3.009519,2.717619,3.03599
407,3.009276,2.719054,3.031687
408,3.009212,2.717619,3.030253
409,3.009053,2.717619,3.031687
410,3.009152,2.714751,3.030253
411,3.008635,2.716185,3.030253
412,3.008595,2.716185,3.031687
413,3.008517,2.714751,3.030253
414,3.008075,2.717619,3.028819
415,3.007801,2.714751,3.031687
416,3.007836,2.714751,3.030253
417,3.007651,2.714751,3.030253
418,3.007406,2.717619,3.028819
419,3.007186,2.716185,3.028819
420,3.007146,2.716185,3.028819
421,3.006753,2.714751,3.028819
422,3.006492,2.713317,3.030253
423,3.006199,2.713317,3.028819
424,3.006047,2.716185,3.028819
425,3.005945,2.713317,3.025951
426,3.005807,2.713317,3.028819
427,3.005326,2.713317,3.027385
428,3.00508,2.711883,3.024517
429,3.004966,2.713317,3.027385
430,3.004965,2.711883,3.025951
431,3.004697,2.714751,3.025951
432,3.004781,2.711883,3.028819
433,3.004412,2.713317,3.025951
434,3.004384,2.713317,3.025951
435,3.003724,2.713317,3.024517
436,3.003568,2.713317,3.025951
437,3.003324,2.711883,3.025951
438,3.002944,2.710449,3.024517
439,3.003194,2.713317,3.025951
440,3.003344,2.711883,3.024517
441,3.002998,2.711883,3.027385
442,3.002595,2.711883,3.024517
443,3.002474,2.710449,3.024517
444,3.002495,2.711883,3.024517
445,3.002466,2.711883,3.025951
446,3.002185,2.711883,3.024517
447,3.001966,2.710449,3.024517
448,3.001894,2.710449,3.023083
449,3.001744,2.711883,3.023083
450,3.001691,2.707581,3.023083
451,3.001455,2.710449,3.023083
452,3.001375,2.709015,3.024517
453,3.001096,2.709015,3.024517
454,3.001085,2.710449,3.024517
455,3.000827,2.711883,3.021649
456,3.000661,2.709015,3.021649
457,3.000086,2.709015,3.020215
458,3.000062,2.709015,3.021649
459,2.999974,2.709015,3.021649
460,2.999838,2.704713,3.021649
461,2.999387,2.709015,3.021649
462,2.999271,2.709015,3.020215
463,2.999241,2.707581,3.020215
464,2.998728,2.707581,3.020215
465,2.998698,2.709015,3.023083
466,2.998455,2.706147,3.020215
467,2.998135,2.706147,3.01878
468,2.998028,2.707581,3.020215
469,2.998205,2.706147,3.020215
470,2.997823,2.707581,3.020215
471,2.997956,2.709015,3.021649
472,2.997439,2.707581,3.01878
473,2.997664,2.704713,3.020215
474,2.997468,2.707581,3.01878
475,2.997226,2.706147,3.017346
476,2.996897,2.706147,3.01878
477,2.996707,2.706147,3.01878
478,2.996291,2.704713,3.01878
479,2.996186,2.706147,3.017346
480,2.995909,2.706147,3.017346
481,2.995687,2.703279,3.017346
482,2.995456,2.706147,3.015912
483,2.995363,2.706147,3.017346
484,2.995186,2.703279,3.017346
485,2.995126,2.703279,3.017346
486,2.99515,2.704713,3.017346
487,2.994869,2.704713,3.017346
488,2.994796,2.703279,3.015912
489,2.994952,2.701844,3.01878
490,2.994896,2.703279,3.01878
491,2.994485,2.703279,3.015912
492,2.994167,2.703279,3.015912
493,2.993932,2.704713,3.015912
