EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51723/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/29 01:28:06"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
1347,2.804940
1348,2.804532
1349,2.804568
1350,2.804658
1351,2.804519
1352,2.804717
1353,2.804830
1354,2.804637
1355,2.804619
1356,2.804484
1357,2.804327
1358,2.804165
1359,2.804190
1360,2.804388
1361,2.804435
1362,2.804279
1363,2.804255
1364,2.804261
1365,2.804313
1366,2.804229
1367,2.804095
1368,2.804251
1369,2.804182
1370,2.804439
1371,2.804539
1372,2.804299
1373,2.804109
1374,2.804441
1375,2.804603
1376,2.804589
1377,2.804640
1378,2.804424
1379,2.804397
1380,2.804146
1381,2.804171
1382,2.804258
1383,2.804207
1384,2.804112
1385,2.804610
1386,2.804544
1387,2.804352
1388,2.804414
1389,2.804341
1390,2.804477
1391,2.804331
1392,2.804163
1393,2.804177
1394,2.804261
1395,2.804235
1396,2.804095
1397,2.804185
1398,2.804265
1399,2.804259
1400,2.804241
1401,2.804238
1402,2.804286
1403,2.804033
1404,2.804096
1405,2.804073
1406,2.804265
1407,2.804244
1408,2.804012
1409,2.803971
1410,2.803895
1411,2.803793
1412,2.803919
1413,2.804117
1414,2.804157
1415,2.804143
1416,2.804140
1417,2.804301
1418,2.803850
1419,2.803656
1420,2.803571
1421,2.803660
1422,2.803441
1423,2.803321
1424,2.803349
1425,2.803418
1426,2.803348
1427,2.803282
1428,2.803395
1429,2.803349
1430,2.803488
1431,2.803531
1432,2.803373
1433,2.803308
1434,2.803450
1435,2.803268
1436,2.803543
1437,2.803439
1438,2.803437
1439,2.803353
1440,2.803331
1441,2.803263
1442,2.803439
1443,2.803447
1444,2.803383
1445,2.803444
1446,2.803325
1447,2.803500
1448,2.803196
1449,2.803256
1450,2.803126
1451,2.802930
1452,2.803223
1453,2.803326
1454,2.803089
1455,2.803303
1456,2.803247
1457,2.803108
1458,2.803172
1459,2.802903
1460,2.802877
1461,2.803031
1462,2.802755
1463,2.802865
1464,2.802957
1465,2.803021
1466,2.803058
1467,2.803216
1468,2.803159
1469,2.803171
1470,2.802895
1471,2.803000
1472,2.803153
1473,2.803117
1474,2.803187
1475,2.803079
1476,2.803064
1477,2.802945
1478,2.802799
1479,2.802713
1480,2.802746
1481,2.802531
1482,2.802286
1483,2.802185
1484,2.802245
1485,2.802254
1486,2.802373
1487,2.802273
1488,2.802442
1489,2.802469
1490,2.802406
1491,2.802189
1492,2.802144
1493,2.801940
1494,2.801919
1495,2.801877
1496,2.801926
1497,2.801992
1498,2.801834
1499,2.802139
1500,2.802097
1501,2.801661
1502,2.802078
1503,2.801687
1504,2.801884
1505,2.801956
1506,2.802009
1507,2.801942
1508,2.802276
1509,2.802227
1510,2.802439
1511,2.802095
1512,2.801940
1513,2.801919
1514,2.801923
1515,2.801796
1516,2.801655
1517,2.801695
1518,2.801668
1519,2.801477
1520,2.801571
1521,2.801671
1522,2.801574
1523,2.801693
1524,2.801833
1525,2.801888
1526,2.801705
1527,2.801596
1528,2.801966
1529,2.801702
1530,2.801508
1531,2.801455
1532,2.801384
1533,2.801565
1534,2.801532
1535,2.801438
1536,2.801367
1537,2.801520
1538,2.801495
1539,2.801779
1540,2.801812
1541,2.801854
1542,2.801780
1543,2.801681
1544,2.801595
1545,2.801761
1546,2.801578
1547,2.801572
1548,2.801543
1549,2.801509
1550,2.801399
1551,2.801260
1552,2.801369
1553,2.801441
1554,2.801484
1555,2.801485
1556,2.801507
1557,2.801297
1558,2.801171
1559,2.801194
1560,2.801274
1561,2.801367
1562,2.801413
1563,2.801281
1564,2.801137
1565,2.801130
1566,2.801219
1567,2.801235
1568,2.800951
1569,2.800991
1570,2.800707
1571,2.800783
1572,2.800667
1573,2.800719
1574,2.800747
1575,2.800852
1576,2.800722
1577,2.800513
1578,2.800574
1579,2.800892
1580,2.800842
1581,2.800786
1582,2.800647
1583,2.800652
1584,2.800444
1585,2.800455
1586,2.800494
1587,2.800649
1588,2.800476
1589,2.800418
1590,2.800452
1591,2.800422
1592,2.800386
1593,2.800566
1594,2.800410
1595,2.800351
1596,2.800325
1597,2.800524
1598,2.800602
1599,2.800540
1600,2.800793
1601,2.800889
1602,2.801119
1603,2.801363
1604,2.800982
1605,2.801198
1606,2.801122
1607,2.801286
1608,2.801143
1609,2.801086
1610,2.800774
1611,2.800655
1612,2.800776
1613,2.800775
1614,2.801005
1615,2.801060
1616,2.801307
1617,2.800982
1618,2.801168
1619,2.801355
1620,2.801513
1621,2.801447
1622,2.801492
1623,2.801293
1624,2.801252
1625,2.801302
1626,2.801675
1627,2.801837
1628,2.801661
1629,2.801306
1630,2.801371
1631,2.801302
1632,2.801032
1633,2.800964
1634,2.800908
1635,2.800968
1636,2.800708
1637,2.800531
1638,2.800348
1639,2.800860
1640,2.800964
1641,2.801175
1642,2.801203
1643,2.801314
1644,2.801371
1645,2.801193
1646,2.801075
1647,2.801130
1648,2.800995
1649,2.800694
1650,2.800885
1651,2.800922
1652,2.800895
1653,2.800817
1654,2.800912
1655,2.800821
1656,2.800797
1657,2.800873
1658,2.800795
1659,2.801001
1660,2.800745
1661,2.800638
1662,2.800717
1663,2.800697
1664,2.800568
1665,2.800839
1666,2.800812
1667,2.800819
1668,2.800619
1669,2.800576
1670,2.800400
1671,2.800612
1672,2.800627
1673,2.800645
1674,2.800703
1675,2.800817
1676,2.800881
1677,2.801014
1678,2.800941
1679,2.800885
1680,2.800766
1681,2.800564
1682,2.800555
1683,2.800729
1684,2.800435
1685,2.800328
1686,2.800495
1687,2.800228
1688,2.800334
1689,2.800248
1690,2.800417
1691,2.800364
1692,2.800424
1693,2.800405
1694,2.800645
1695,2.800683
1696,2.800607
1697,2.800504
1698,2.800555
1699,2.800349
1700,2.800365
1701,2.800728
1702,2.800545
1703,2.800310
1704,2.800352
1705,2.800328
1706,2.800167
1707,2.800106
1708,2.800321
1709,2.799936
1710,2.799859
1711,2.799519
1712,2.799722
1713,2.799894
1714,2.800084
1715,2.800184
1716,2.800095
1717,2.799665
1718,2.799563
1719,2.799713
1720,2.799577
1721,2.799271
1722,2.799628
1723,2.799623
1724,2.799581
1725,2.799421
1726,2.799523
1727,2.799481
1728,2.799698
1729,2.799421
1730,2.799744
1731,2.799587
1732,2.799394
1733,2.799235
1734,2.799464
1735,2.799448
1736,2.799587
1737,2.799621
1738,2.799659
1739,2.799553
1740,2.799460
