EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/02/28 13:50:20,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
601,3.156383,2.954246,3.182268
602,3.156245,2.954246,3.183702
603,3.156108,2.954246,3.183702
604,3.156291,2.95568,3.183702
605,3.156231,2.95568,3.182268
606,3.156257,2.95568,3.182268
607,3.15619,2.95568,3.182268
608,3.156152,2.954246,3.182268
609,3.156417,2.954246,3.182268
610,3.156324,2.958548,3.182268
611,3.156001,2.954246,3.180834
612,3.155903,2.952812,3.182268
613,3.155917,2.95568,3.183702
614,3.155735,2.95568,3.180834
615,3.155708,2.954246,3.182268
616,3.155598,2.95568,3.180834
617,3.155552,2.95568,3.182268
618,3.155586,2.954246,3.182268
619,3.155842,2.957114,3.182268
620,3.155572,2.957114,3.180834
621,3.155738,2.957114,3.180834
622,3.155575,2.957114,3.183702
623,3.15539,2.954246,3.180834
624,3.15513,2.95568,3.180834
625,3.155219,2.954246,3.180834
626,3.155283,2.95568,3.180834
627,3.155175,2.95568,3.180834
628,3.15493,2.952812,3.183702
629,3.155068,2.95568,3.180834
630,3.154966,2.954246,3.1794
631,3.155339,2.95568,3.1794
632,3.155473,2.952812,3.183702
633,3.155411,2.952812,3.182268
634,3.155145,2.954246,3.180834
635,3.155191,2.954246,3.180834
636,3.155079,2.954246,3.180834
637,3.155186,2.95568,3.180834
638,3.154977,2.954246,3.1794
639,3.155241,2.95568,3.180834
640,3.155381,2.951378,3.180834
641,3.155176,2.957114,3.1794
642,3.155022,2.95568,3.182268
643,3.155313,2.954246,3.180834
644,3.155151,2.954246,3.180834
645,3.15536,2.951378,3.1794
646,3.155497,2.954246,3.180834
647,3.155208,2.954246,3.182268
648,3.155371,2.957114,3.182268
649,3.155274,2.95568,3.182268
650,3.155295,2.952812,3.182268
651,3.155383,2.954246,3.182268
652,3.155034,2.95568,3.180834
653,3.15502,2.95568,3.180834
654,3.154927,2.952812,3.1794
655,3.155504,2.95568,3.182268
656,3.155424,2.952812,3.182268
657,3.155228,2.957114,3.180834
658,3.155039,2.951378,3.180834
659,3.154729,2.952812,3.1794
660,3.154624,2.954246,3.180834
661,3.154888,2.95568,3.183702
662,3.154924,2.951378,3.180834
663,3.1545,2.95568,3.182268
664,3.154508,2.954246,3.1794
665,3.154351,2.95568,3.1794
666,3.154166,2.951378,3.177966
667,3.154111,2.95568,3.180834
668,3.154415,2.954246,3.180834
669,3.154674,2.95568,3.180834
670,3.154599,2.954246,3.1794
671,3.154555,2.954246,3.180834
672,3.154666,2.954246,3.180834
673,3.15449,2.954246,3.180834
674,3.154279,2.95568,3.1794
675,3.15404,2.954246,3.182268
676,3.154149,2.949944,3.1794
677,3.154236,2.954246,3.180834
678,3.154148,2.95568,3.180834
679,3.154388,2.952812,3.182268
680,3.153833,2.95568,3.180834
681,3.15388,2.952812,3.180834
682,3.153664,2.95568,3.177966
683,3.153562,2.954246,3.180834
